site,basin_areasqkm,springprev_point,springprev_basinmean,springprev_iew01km,springprev_iew05km,springprev_basinmean_log,springprev_iew01km_log,springprev_iew05km_log
1989,32.77891719274344,0.13071799278259277,0.059008865266124276,0.050383851854720316,0.05460710894323657,-2.8300675876162633,-2.9880845549516972,-2.9075912042810392
1990,32.86642425760855,0.12097500264644623,0.05909213812947105,0.052101431970689734,0.05487859182448695,-2.828657389992998,-2.954562845558493,-2.90263195506851
1991,32.938484141887805,0.058680400252342224,0.05920433660015811,0.05393883746792158,0.0551865531967739,-2.8267604863940257,-2.9199045138216513,-2.8970359568824735
1992,33.03658586987032,0.128153994679451,0.059317220792236114,0.056010479592373714,0.055519344204974536,-2.8248556139185825,-2.882216470176564,-2.8910237747234038
1993,36.61531749660771,0.145797997713089,0.060131343227564145,0.06348774908373599,0.05761813447375053,-2.811224055454668,-2.7569083195116373,-2.8539179262165844
1994,36.67840022358505,0.0985879972577095,0.06011470185286338,0.06316652430303192,0.0576893726912317,-2.8115008441805824,-2.7619807969081642,-2.8526823045593943
1995,36.861825383575244,0.1032790020108223,0.06011748803157998,0.06298422110657477,0.0578204684973243,-2.811454497545463,-2.7648710425864014,-2.8504124397404214
1996,37.310197996877,0.09489340335130692,0.06025337578951193,0.06416541328827977,0.05816174181883217,-2.809196678479535,-2.7462909472828487,-2.8445274974633716
1997,37.79334698530845,0.10458400100469589,0.06023855178690465,0.0633676688339327,0.058209475741570614,-2.809442736501516,-2.7588015029111297,-2.8437071240683642
1998,37.862333608532715,0.15799500048160553,0.06037117265257386,0.06473067690479106,0.05856171590002129,-2.8072435619368474,-2.7375200491212768,-2.837674108186962
1999,37.92937922477226,0.1066799983382225,0.06039129759480847,0.06436893306632313,0.05868803100532255,-2.8069102639779753,-2.7431241680693788,-2.8355194740405727
2000,38.18316588792496,0.09666129946708679,0.060048122111825065,0.06056532217843468,0.05807668512371341,-2.8126090030213113,-2.8040327909793543,-2.8459909844106264
2001,38.3386890725172,0.10631299763917923,0.05991689961338755,0.06009201362506272,0.057917539095338616,-2.814796683211515,-2.81187833104527,-2.848735019802161
2002,38.612694558430476,0.13085900247097015,0.06012616011950161,0.06332707662136296,0.05854035703326519,-2.8113102556155143,-2.7594422905588387,-2.8380388987744882
2003,38.71023015937404,0.12114699929952621,0.06032851327348356,0.0659156007138322,0.05909953817990332,-2.807950430070584,-2.719380132351967,-2.8285321688154497
2004,43.29925592128347,0.15210600197315216,0.05987661382640069,0.06594768755920763,0.05910977929924862,-2.8154692703549884,-2.718893463978548,-2.82835889788234
2005,43.56703400978731,0.21803200244903564,0.05989274305109337,0.06539045103710536,0.05919394543798982,-2.815199932267005,-2.72737903978623,-2.826936015329346
2006,43.58927471481298,0.08555400371551514,0.06000259181692186,0.0666690293587513,0.0594808514336732,-2.8133675207443,-2.7080147613489363,-2.822100842871365
2007,43.61313292565988,0.08216589689254761,0.06010474522314572,0.06772632331798883,0.05974298554463136,-2.811666485097798,-2.6922803516228577,-2.8177034918046253
2008,43.71932218274091,0.08683490008115768,0.059915972368747066,0.06416129608280402,0.05929741482971851,-2.8148121588422863,-2.746355114836078,-2.825189568705828
2009,43.797124212680565,0.08654650300741196,0.05981616034762875,0.062161463622494584,0.05907965659903564,-2.8164794146068806,-2.7780200271495215,-2.828868633809858
2010,43.84144387214635,0.13147200644016266,0.05987129576549704,0.0630076091212805,0.059262277813517235,-2.8155580912943314,-2.76449978018102,-2.8257822999527913
