site,basin_areasqkm,springprev_point,springprev_basinmean,springprev_iew01km,springprev_iew05km,springprev_basinmean_log,springprev_iew01km_log,springprev_iew05km_log,springprev_point_norm,springprev_basinmean_norm,springprev_iew01km_norm,springprev_iew05km_norm,springprev_basinmean_log_norm,springprev_iew01km_log_norm,springprev_iew05km_log_norm
Cliff_4A,157.40005747063222,0.2693670094013214,0.03000073533715625,0.0830803051155535,0.04746729907132024,-3.5065333863818355,-2.4879476074297715,-3.047714245629377,0.2938342745849031,0.07043695043751472,0.186778889828338,0.11553564087453697,0.4823527179518113,0.6732871104331595,0.574765722308628
Crystal_1A,185.11699019977476,0.05067680031061172,0.02377298909404706,0.03529138768550444,0.02586536806516181,-3.739205254819858,-3.3441163197244954,-3.654850345387744,0.05352365827922234,0.05433882313317998,0.07563568367823209,0.05971386195992924,0.4353772258842349,0.5037942585889044,0.45214243433595147
Crystal_2A,184.9984270231693,0.06237540021538734,0.02372512538821687,0.03438463610500317,0.02556262322133826,-3.7412206494330142,-3.3701454392239305,-3.666624024796083,0.0663788188495985,0.05421510003984358,0.07352684164417467,0.058931535799613396,0.43497032601147023,0.4986413609980433,0.44976450411377994
Crystal_3A,184.67330835335304,0.03744589909911156,0.0236529386856042,0.03270867412729825,0.02508084957051754,-3.74426791444408,-3.4201149724234083,-3.6856506893685927,0.03898470823827031,0.054028504330420654,0.06962903860520749,0.05768657940125573,0.434355095754731,0.4887490599063512,0.4459216883596798
Crystal_4A,183.08766739800328,0.04112840071320534,0.02365203951024569,0.034281454990889,0.02509613713209333,-3.744305930542719,-3.373150741844978,-3.685041343807871,0.04303127363371734,0.054026180048276654,0.07328687220244008,0.05772608415118684,0.43434742046097047,0.4980464113057903,0.4460447578925193
Upper Bar BC_1A,5.737212268229257,0.4819509983062744,0.32530100889580116,0.3237059617650871,0.3249055195893172,-1.1230043440757282,-1.1279197006567123,-1.1242208478723863,0.5274349904234408,0.8337598623194578,0.7464046022364514,0.8324666876315442,0.9635774159410894,0.942527279101443,0.9632537152324043
Upper Bar BC_2A,1.0721637327812,0.4668940007686615,0.30783014244536233,0.31148854373582746,0.3085697090585643,-1.1782071336996651,-1.1663927191650478,-1.1758074998701595,0.510889410385717,0.7885993465795321,0.717990419960077,0.7902531464634588,0.9524322000475827,0.9349109045103217,0.9528347582868583
Upper Bar BC_3A,4.588540510159026,0.5208029747009277,0.3378923598037874,0.3366592391236573,0.3376665491828409,-1.0850278963379196,-1.08868402006725,-1.0856964113300318,0.5701279963468117,0.8663072979306295,0.7765301805756214,0.8654425994835618,0.9712447043478841,0.9502946353498795,0.9710344963093297
Upper Bar BC_4A,4.529905924183394,0.5091239809989929,0.340306154524787,0.3395427328181742,0.3401929978708009,-1.0779096120531977,-1.0801554700422584,-1.078242181622552,0.5572943803106315,0.8725467259979143,0.7832363532900656,0.871971222320946,0.9726818566310395,0.9519830038280475,0.9725400272049536
Blacktail_1A,61.15053540247885,0.16818499565124512,0.24362152863984507,0.2386187107570355,0.24338925876749293,-1.412139370040555,-1.4328883534615104,-1.4130932293634644,0.1826490862564895,0.622626232273571,0.548516255144761,0.62181965388978655,0.9052022448907604,0.8821536565376786,0.9049101556301486
