site,basin_areasqkm,springprev_point,springprev_basinmean,springprev_iew01km,springprev_iew05km,sitename,springprev_basinmean_log,springprev_iew01km_log,springprev_iew05km_log
48,0.547040468321794,0.4004409909248352,0.2435945822852088,0.2420772223887925,0.24335420005513725,lowerbarbc_bridge,-1.4122499836022147,-1.418498502947142,-1.4132372835331952
49,0.120018931843501,0.4074389934539795,0.25587807239111465,0.2583411751632153,0.256360603988836,lowerbarbc_culvert,-1.3630542276819961,-1.353474183287107,-1.3611702163306465
50,6.39917652506014,0.3844360113143921,0.22812207954443423,0.23545894669695672,0.23062794340256576,lowerbarbc_SG,-1.477874356724328,-1.44621870472629,-1.466949501547636
51,6.39917652506014,0.3844360113143921,0.22812207954443423,0.23545894669695672,0.23062794340256576,lowerbarbc_SGbackup,-1.477874356724328,-1.44621870472629,-1.466949501547636
52,0.364100560080343,0.40473198890686035,0.261221477327686,0.2657712619089057,0.2621188198039979,lowerbarbc_top,-1.3423866593565024,-1.3251192577773954,-1.3389573673236557
53,61.625354235959826,0.6090959906578064,0.06501967861738676,0.20178020096307075,0.09309409086904175,mosquito_1A,-2.7330653069456194,-1.6005762880510133,-2.3741445675078676
54,60.51226760593015,0.5486230254173279,0.05799323230439603,0.16105959728367739,0.07654926725380494,mosquito_4B,-2.8474289596508378,-1.8259808130296524,-2.569820729049601
55,82.55879105713802,0.47165998816490173,0.06953724420926995,0.27795061705371576,0.11712851733009252,nowlin_NA,-2.665892782044871,-1.2803118175681565,-2.1444835083080345
56,418.22343707166004,0.0653730034828186,0.02668798671298808,0.043156660565660324,0.032872783496048635,pacific_NA,-3.6235417506705803,-3.1429185149485046,-3.415110212930611
57,82.65236376882754,0.1945360004901886,0.03768757043752772,0.11849880953712777,0.056070059496689174,shoal_NA,-3.2784249355073527,-2.132852364557601,-2.881153307732634
58,97.2378181241678,0.05123880133032799,0.019413529236460243,0.02465372162088174,0.02075624933811409,slate_NA,-3.9417850726489143,-3.702827411354794,-3.874907904727729
59,2082.666364451644,0.01851929910480976,0.04870748230611647,0.06331075194453756,0.04411434639858946,Snake_below_JLD,-3.0219226199124503,-2.7597001073123426,-3.1209702342720815
60,196.8510244202386,0.0639796033501625,0.028703299921061062,0.029516218040206692,0.026627789353026107,spread_1A,-3.550743182998324,-3.5228154026264646,-3.6257998960070523
61,192.13259819273097,0.02226950041949749,0.02854987285260063,0.020982692146867824,0.025579204671534992,spread_4B,-3.556102796389137,-3.864057364567137,-3.6659755751234404
62,4.01295106411777,0.19509999454021454,0.06014526623571289,0.07085766499965974,0.06408453323460503,spring_JLD,-2.8109925389815476,-2.6470821323928626,-2.747552235362725
63,25.087838769257903,0.42535701394081116,0.2384208564878633,0.23864100731586263,0.22751011837145463,spring_TSS,-1.4337178623496722,-1.432794917715735,-1.4805605652221334
64,18.801645025742918,0.6645190119743347,0.32924752830574705,0.34741279499977273,0.3342362633567861,srsidechannel_lower,-1.110945445430973,-1.057241595111362,-1.0959071607577164
65,18.600750802888303,0.649412989616394,0.33569316359648327,0.36065818869259825,0.3430744135192079,srsidechannel_spawning,-1.0915577398252454,-1.0198246149177015,-1.0698079063106445
66,0.0661559880376,0.09836219996213913,0.05203917991560822,0.052387239633480215,0.052107523674445974,SRUnkChan1_NA,-2.9557583841935897,-2.9490922357556055,-2.954445932310002
67,6.087240527669976,0.091286301612854,0.04464092963132949,0.047313515641786937,0.04513054706662756,SRUnkChan2_NA,-3.109104136051335,-3.0509592813456665,-3.0981959431996904
68,31.613827750612472,0.2628760039806366,0.12744537642850398,0.13346252621620608,0.1286202219558148,threechannel_1A,-2.0600674263503924,-2.013934543046483,-2.0508912326058253
69,31.41649204057524,0.25074100494384766,0.12679392238815243,0.13143208921471378,0.1277579719105909,threechannel_2B,-2.065192168820528,-2.0292649925884345,-2.057617649414034
70,0.698358137781511,0.24334600567817688,0.13653113152899363,0.13808648116073674,0.13684917690936224,threechannel_3A,-1.9912026205516107,-1.9798751150259588,-1.9888758580596655
71,0.465113798539351,0.2407979965209961,0.13495259361428089,0.13646351465800308,0.135257558621486,threechannel_4B,-2.002831720626995,-1.991697991968726,-2.0005744765214817
72,0.261793316966342,0.506384015083313,0.21477060979332335,0.2255350656806701,0.21690836169816227,unkspring_Ford,-1.538184751624574,-1.4892796302187274,-1.5282803109557133
73,5.722331214683637,0.4394730031490326,0.32483894472695696,0.3230830392234341,0.3244166511138689,upperbarbc_2_USMainRiff,-1.1244257741664896,-1.1298459014217248,-1.1257266291004928
74,1.070869728125032,0.5293689966201782,0.307230607006469,0.31074884771445066,0.30794313081226604,upperbarbc_3_DSRightFk,-1.18015665048906,-1.1687702566771918,-1.177840153276582
75,1.058738434474882,0.43315601348876953,0.3069103027578567,0.310384990693395,0.3076101518816821,upperbarbc_4_DS2ndPond,-1.1811997475130882,-1.169941846567088,-1.1789220383787304
76,0.91017052490991,0.505748987197876,0.30336204364842023,0.30556710561968714,0.3037960393741283,upperbarbc_5_US2ndPond,-1.1928283232279255,-1.1855858661622642,-1.191398725856966
77,0.860674846817668,0.5876230001449585,0.30349443437203827,0.3054423908117889,0.3038814132716892,upperbarbc_6_TopRightFk,-1.192392006798874,-1.1859940916001945,-1.191117741602076
78,4.591209394762148,0.4556320011615753,0.33701020548492916,0.3354855848441711,0.33672904340515164,upperbarbc_7_US1stPond,-1.0876420657502377,-1.092176289680743,-1.0884766975356424
79,4.433179076150049,0.5630459785461426,0.3655921898568547,0.3710131786986261,0.3666905605416339,upperbarbc_8_DirtRedd,-1.0062368021662798,-0.991517694906874,-1.0032369458733916
80,0.440689460657268,0.6131600141525269,0.3422064598373793,0.34633610249455415,0.3430260062589659,upperbarbc_9_TopLeft,-1.0723410403282296,-1.0603455809297964,-1.0699490146934028
81,5.738263647010908,0.5713279843330383,0.32547336385300557,0.3240258320753383,0.3251031990551816,upperbarbc_SG,-1.1224746521626732,-1.1269320377403784,-1.123612611501739
82,5.738263647010908,0.5713279843330383,0.32547336385300557,0.3240258320753383,0.3251031990551816,upperbarbc_SGbackup,-1.1224746521626732,-1.1269320377403784,-1.123612611501739
83,184.4352923719747,0.3114970028400421,0.04513783946841758,0.11494840059978423,0.06802873172047869,willow_4B,-3.0980343716443364,-2.1632719417472206,-2.6878251377435523
84,185.4841640209501,0.32583901286125183,0.0468399491958319,0.137883519839497,0.07374130907325885,willow_NA,-3.0610188248853203,-1.981346009377496,-2.6071921337807047
