site,basin_areasqkm,springprev_point,springprev_basinmean,springprev_iew01km,springprev_iew05km,sitename,springprev_basinmean_log,springprev_iew01km_log,springprev_iew05km_log,springprev_point_norm,springprev_basinmean_norm,springprev_iew01km_norm,springprev_iew05km_norm,springprev_basinmean_log_norm,springprev_iew01km_log_norm,springprev_iew05km_log_norm
35,44.76431181775035,0.7437149882316589,0.4354979874097173,0.4879320263207207,0.45297807470539536,flat_GV return,-0.8312651040327098,-0.7175791731571803,-0.7919115548792712,0.8150777980605727,1.118608492854605,1.1283469505820614,1.1634203350013315,1.022478367089346,1.0237610187072301,1.030370228559332
36,44.76431181775035,0.7437149882316589,0.4354979874097173,0.4879320263207207,0.45297807470539536,flat_Gvreturn,-0.8312651040327098,-0.7175791731571803,-0.7919115548792712,0.8150777980605727,1.118608492854605,1.1283469505820614,1.1634203350013315,1.022478367089346,1.0237610187072301,1.030370228559332
37,175.60945274038374,0.4753749966621399,0.12066942981445938,0.32768279869787925,0.2512678695698862,flat_mainstem,-2.1147004570717973,-1.1157092156594046,-1.3812356994717343,0.5202088644139601,0.30480683791140717,0.755653575237224,0.6421788555852302,0.7633580546481609,0.9449445479117551,0.9113444214620873
38,40.39607560025867,0.09321010112762453,0.04552237013078473,0.03736480332750348,0.04552734809675853,goosewing_NA,-3.0895514226200587,-3.2870261051624188,-3.0894420765160695,0.10026193602540004,0.11055888911728917,0.08045784903635865,0.11052259299579459,0.5665396592546507,0.5150962171159708,0.5663379516237182
39,219.91156227006465,0.3871760070323944,0.04800958104085214,0.19083172866414752,0.07035764551904725,granite_NA,-3.0363546829749244,-1.656363241004031,-2.654163823017669,0.4232902431204434,0.11698809099867569,0.4373775500293851,0.1746868277901657,0.5772798619185863,0.8379130816822439,0.6542511075836764
40,1597.15395739027,0.32430100440979004,0.0524841991661354,0.13631879094536548,0.11168286291102862,grosventre_hwy191,-2.947243122948684,-1.992759085179273,-2.1920920053483224,0.3541992184546243,0.12855455010076192,0.3105962166042254,0.28147576014050213,0.5952711189160219,0.7713179233226258,0.7475757601363359
41,1539.6867253658174,0.01213650032877922,0.05068047818740821,0.01575717433754321,0.03162165956672398,grosventre_lowerslide,-2.9822144881473465,-4.150459503930465,-3.4539129638619572,0.011173142086710124,0.12389210420082217,0.030204750778558404,0.07458875585143518,0.5882105442985981,0.34416519962698244,0.4927257605606948
42,266.14198136309204,0.18578200042247772,0.04257439226695513,0.05019112557389011,0.04210392167481228,grosventre_upper,-3.1565023269461845,-2.991917049308738,-3.1676143912114063,0.2019857866935671,0.10293864881048488,0.11028816648735548,0.10167608048717537,0.5530225473828871,0.5735179683005523,0.5505494879494416
43,674.3116492600942,0.31011998653411865,0.04333099462452904,0.1131348183714163,0.05890709682233431,hoback_bondurant,-3.1388870888542844,-2.1791750884947607,-2.8317937062393175,0.3386162202046618,0.10489439340821335,0.25667699889153006,0.14509734351597586,0.5565789914120239,0.7344137716319324,0.6183751971716454
44,113.8851880235516,0.11940299719572069,0.04089938434786187,0.05874946330826822,0.04852181773822889,hoback_upper,-3.196640268666187,-2.8344732611780077,-3.0257417319182385,0.1290443448178485,0.09860891383659003,0.13019238583918608,0.11826063374062473,0.5449188622423732,0.6046865876068065,0.579203511261314
45,110.18045269342838,0.3190459907054901,0.0914708245810261,0.18194323233787923,0.13081667427113844,lake_NA,-2.3917352145843416,-1.704060550790888,-2.03395836894667,0.3484246774396157,0.22933124115328435,0.41670547724177853,0.33091964491327375,0.7074258779680221,0.8284706050476968,0.7795140132600815
46,67.65824656806066,0.2092919945716858,0.0329094589470921,0.03865614278664538,0.03071833894149524,lava_NA,-3.413995156542097,-3.2530495828995662,-3.4828954430794186,0.22782005337989927,0.07795572225929244,0.08346113129164842,0.07225447544769958,0.5010358054731638,0.5218224354084449,0.4868721687603401
47,2.4262587298e-4,0.3942979872226715,0.3740406632423401,0.3741014791571971,0.3740528119150824,littlebarbc_NA,-0.9833907622308676,-0.9832281837272804,-0.9833582832074654,0.43111632484563134,0.9597471986384367,0.8636100063293807,0.9594687267399151,0.9917648231704517,0.9711713739975418,0.9917037297157315
48,0.547040468321794,0.4004409909248352,0.2435945822852088,0.2420772223887925,0.24335420005513725,lowerbarbc_bridge,-1.4122499836022149,-1.418498502947142,-1.4132372835331952,0.4378666453641998,0.622556578528799,0.5565597533433455,0.6217290582995316,0.9051799124681809,0.8850023670386217,0.904881061007138
49,0.120018931843501,0.4074389934539795,0.25587807239111465,0.2583411751632153,0.256360603988836,lowerbarbc_culvert,-1.363054227681996,-1.353474183287107,-1.3611702163306465,0.44555649260372493,0.6543082234653927,0.5943850055824065,0.6553390445852035,0.9151123329945766,0.8978750137730167,0.9153970474194298
50,6.39917652506014,0.3844360113143921,0.22812207954443425,0.23545894669695672,0.23062794340256576,lowerbarbc_SG,-1.477874356724328,-1.44621870472629,-1.466949501547636,0.42027936274127214,0.582561641497886,0.5411675574298759,0.5888430035728558,0.8919306217836963,0.8795146915538995,0.8940328034585303
51,6.39917652506014,0.3844360113143921,0.22812207954443425,0.23545894669695672,0.23062794340256576,lowerbarbc_SGbackup,-1.477874356724328,-1.44621870472629,-1.466949501547636,0.42027936274127214,0.582561641497886,0.5411675574298759,0.5888430035728558,0.8919306217836963,0.8795146915538995,0.8940328034585303
52,0.364100560080343,0.4047319889068603,0.261221477327686,0.2657712619089057,0.2621188198039979,lowerbarbc_top,-1.3423866593565024,-1.3251192577773954,-1.3389573673236557,0.44258186500715674,0.6681204132286982,0.6116652393122918,0.6702189111158823,0.9192850299280219,0.9034883433883812,0.9198833768957397
53,61.625354235959826,0.6090959906578064,0.06501967861738676,0.20178020096307075,0.09309409086904176,mosquito_1A,-2.733065306945619,-1.6005762880510133,-2.3741445675078676,0.6671499397081808,0.16095756334980038,0.4628405313896368,0.2334403172476418,0.6385127379576587,0.8489570378744357,0.7108066011870687
54,60.51226760593015,0.5486230254173279,0.05799323230439603,0.1610595972836774,0.07654926725380494,mosquito_4B,-2.8474289596508378,-1.8259808130296524,-2.569820729049601,0.6006984254534041,0.14279487289516699,0.3681361795716608,0.19068666315219843,0.6154231874394185,0.8043344591599758,0.6712858836483332
55,82.55879105713802,0.47165998816490173,0.06953724420926995,0.27795061705371576,0.11712851733009252,nowlin_NA,-2.665892782044871,-1.2803118175681565,-2.1444835083080345,0.5161265784018696,0.17263503753788004,0.6399908983234294,0.29554793345406744,0.652074594110779,0.9123587222235873,0.7571912490602213
