Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.40558E-4,25.009754518,0.027201672,0.109685063,0.209302326,0.203703704
1.42736E-4,25.25015092,0.027611623,0.108006713,0.209302326,0.203703704
1.46729E-4,25.511454694,0.02836208,0.106229638,0.209302326,0.203703704
1.49136E-4,25.763366294,0.028814005,0.104551288,0.209302326,0.203703704
1.50853E-4,26.003564512,0.029136044,0.102971666,0.209302326,0.203703704
1.52429E-4,26.261342188,0.029431504,0.101293316,0.209302326,0.203703704
1.55774E-4,26.507340215,0.030057994,0.099713693,0.209302326,0.203703704
1.59291E-4,26.759075206,0.030715733,0.09813407,0.209302326,0.222222222
1.62241E-4,27.00018628,0.031266883,0.096653174,0.209302326,0.222222222
1.65596E-4,27.263192363,0.031892773,0.095073551,0.217054264,0.222222222
1.68525E-4,27.514280467,0.032438549,0.093592655,0.217054264,0.222222222
1.72294E-4,27.753000616,0.033139967,0.092210485,0.224806202,0.222222222
1.75707E-4,28.014066822,0.033774254,0.090729588,0.224806202,0.222222222
1.79495E-4,28.262804386,0.034477305,0.089347418,0.224806202,0.222222222
1.83329E-4,28.516791043,0.035187736,0.087965248,0.224806202,0.222222222
1.86311E-4,28.756996878,0.035739801,0.086681805,0.23255814,0.222222222
1.89445E-4,29.00141518,0.036319135,0.085398361,0.23255814,0.240740741
1.93636E-4,29.250720056,0.037092805,0.084114918,0.23255814,0.240740741
1.95614E-4,29.503963294,0.037457545,0.082831474,0.23255814,0.240740741
2.01512E-4,29.762166322,0.038543361,0.08154803,0.23255814,0.259259259
2.04648E-4,30.006151967,0.039119712,0.080363313,0.23255814,0.259259259
2.08749E-4,30.254189924,0.039872442,0.079178596,0.23255814,0.259259259
2.11906E-4,30.506885022,0.040450958,0.077993879,0.23255814,0.259259259
2.16169E-4,30.763788053,0.041231217,0.076809162,0.240310078,0.259259259
2.2066E-4,31.004960431,0.042051816,0.075723171,0.248062016,0.259259259
2.23263E-4,31.271242565,0.042526641,0.074538454,0.255813953,0.259259259
2.27416E-4,31.519512764,0.043283558,0.073452463,0.255813953,0.259259259
2.30572E-4,31.771553811,0.043857904,0.072366473,0.255813953,0.259259259
2.33182E-4,32.003346729,0.04433231,0.071379208,0.255813953,0.259259259
2.37682E-4,32.262467118,0.045149263,0.070293217,0.255813953,0.259259259
2.39896E-4,32.501150546,0.045550603,0.069305953,0.263565891,0.259259259
2.44684E-4,32.767384587,0.046417621,0.068219962,0.263565891,0.259259259
2.4822E-4,33.014155733,0.047056788,0.067232698,0.263565891,0.259259259
2.50916E-4,33.263574379,0.04754365,0.066245434,0.263565891,0.259259259
2.52824E-4,33.515579436,0.047887748,0.06525817,0.271317829,0.259259259
2.5656E-4,33.770373434,0.048561004,0.064270905,0.271317829,0.259259259
2.59072E-4,34.002810861,0.049013167,0.063382367,0.271317829,0.259259259
2.63482E-4,34.264273543,0.049805965,0.062395103,0.271317829,0.259259259
2.65085E-4,34.502215745,0.050093806,0.061506565,0.271317829,0.259259259
2.69075E-4,34.769006416,0.050809472,0.060519301,0.271317829,0.259259259
2.72226E-4,35.01313588,0.05137396,0.059630763,0.271317829,0.259259259
2.79485E-4,35.262180374,0.05267164,0.058742225,0.271317829,0.259259259
2.83855E-4,35.515940261,0.053451347,0.057853687,0.271317829,0.259259259
2.89019E-4,35.773747112,0.054370831,0.05696515,0.271317829,0.259259259
2.92747E-4,36.006459228,0.055033488,0.056175338,0.279069767,0.259259259
2.98256E-4,36.272590157,0.056011177,0.0552868,0.279069767,0.259259259
3.03587E-4,36.512688935,0.056955309,0.054496989,0.279069767,0.277777778
3.08491E-4,36.757673695,0.057822116,0.053707177,0.286821705,0.277777778
3.12453E-4,37.005972198,0.058521323,0.052917366,0.286821705,0.277777778
3.1644E-4,37.257339906,0.059223778,0.052127555,0.294573643,0.277777778
3.23321E-4,37.513103361,0.060433748,0.051337743,0.294573643,0.277777778
3.26693E-4,37.773384151,0.061025533,0.050547932,0.294573643,0.277777778
3.32615E-4,38.00462636,0.062063128,0.049856847,0.294573643,0.277777778
3.36346E-4,38.272147981,0.06271563,0.049067035,0.294573643,0.277777778
3.40571E-4,38.50937673,0.063453456,0.04837595,0.294573643,0.277777778
3.44888E-4,38.783887893,0.06420619,0.047586139,0.294573643,0.277777778
3.51231E-4,39.028190379,0.065309878,0.046895054,0.294573643,0.277777778
3.58286E-4,39.276284842,0.06653446,0.046203969,0.294573643,0.277777778
3.64258E-4,39.529480756,0.067568494,0.045512884,0.302325581,0.277777778
3.67828E-4,39.785503612,0.068185605,0.044821799,0.302325581,0.277777778
3.75082E-4,40.008778731,0.069436912,0.04422944,0.302325581,0.277777778
3.80893E-4,40.273972932,0.070436965,0.043538355,0.302325581,0.277777778
3.8504E-4,40.504163929,0.071149207,0.042945997,0.302325581,0.277777778
3.88787E-4,40.775359531,0.071791931,0.042254912,0.302325581,0.277777778
3.93302E-4,41.010012897,0.072565099,0.041662553,0.302325581,0.277777778
4.04437E-4,41.250194579,0.074466543,0.041070194,0.302325581,0.296296296
4.13358E-4,41.537768298,0.075984313,0.040379109,0.310077519,0.296296296
4.18393E-4,41.78825801,0.076838775,0.039786751,0.310077519,0.296296296
4.2211E-4,42.040847171,0.077468554,0.039194392,0.310077519,0.296296296
4.30569E-4,42.255005715,0.078898463,0.03870076,0.310077519,0.296296296
4.37906E-4,42.515579131,0.080135201,0.038108402,0.317829457,0.296296296
4.43649E-4,42.780266081,0.081100997,0.037516043,0.325581395,0.296296296
4.518E-4,43.004579094,0.082468078,0.037022411,0.325581395,0.296296296
4.5896E-4,43.278260237,0.083665719,0.036430052,0.325581395,0.296296296
4.67832E-4,43.510781796,0.085145276,0.03593642,0.333333333,0.296296296
4.8563E-4,43.797590946,0.088099155,0.035344062,0.333333333,0.296296296
4.87129E-4,44.04084874,0.088347107,0.034850429,0.333333333,0.296296296
4.93859E-4,44.286185898,0.089458444,0.034356797,0.333333333,0.296296296
5.01001E-4,44.534213092,0.090634835,0.033863165,0.333333333,0.296296296
5.11759E-4,44.788185025,0.092401285,0.033369533,0.333333333,0.296296296
5.20293E-4,45.047049309,0.093797581,0.032875901,0.333333333,0.296296296
5.24307E-4,45.256275229,0.094452866,0.032480995,0.333333333,0.296296296
5.34369E-4,45.520613787,0.096091324,0.031987363,0.333333333,0.296296296
5.39654E-4,45.789034274,0.096949642,0.031493731,0.341085271,0.296296296
5.45439E-4,46.006774164,0.097887137,0.031098825,0.341085271,0.296296296
5.51693E-4,46.281422642,0.098898459,0.030605193,0.341085271,0.296296296
5.56924E-4,46.503572255,0.099742761,0.030210287,0.341085271,0.296296296
5.62399E-4,46.78333379,0.100624566,0.029716655,0.341085271,0.296296296
5.70444E-4,47.01084511,0.101917352,0.029321749,0.348837209,0.296296296
5.80981E-4,47.298791419,0.103604756,0.028828117,0.356589147,0.296296296
5.86947E-4,47.532332282,0.104557512,0.028433212,0.356589147,0.296296296
6.00349E-4,47.769372785,0.106690127,0.028038306,0.356589147,0.296296296
6.09613E-4,48.011480423,0.108158467,0.0276434,0.364341085,0.296296296
6.18029E-4,48.256770707,0.109488093,0.027248494,0.364341085,0.296296296
6.24146E-4,48.505363986,0.110452139,0.026853589,0.364341085,0.296296296
6.28697E-4,48.755922679,0.111168018,0.026458683,0.372093023,0.296296296
6.35382E-4,49.009266,0.112217414,0.026063777,0.379844961,0.296296296
6.44641E-4,49.265647153,0.113666756,0.025668872,0.379844961,0.296296296
6.69763E-4,49.531407634,0.117575574,0.025273966,0.387596899,0.296296296
6.72216E-4,49.799816193,0.117955444,0.02487906,0.387596899,0.296296296
6.81722E-4,50.002753173,0.119424217,0.024582881,0.387596899,0.296296296
6.91363E-4,50.278231863,0.120908951,0.024187975,0.387596899,0.296296296
6.99878E-4,50.556572583,0.122216166,0.023793069,0.387596899,0.296296296
7.05789E-4,50.767658938,0.123121243,0.02349689,0.387596899,0.296296296
7.17893E-4,51.053271359,0.124968815,0.023101984,0.387596899,0.296296296
7.29934E-4,51.271266511,0.126799166,0.022805805,0.387596899,0.296296296
7.42865E-4,51.567426833,0.128756239,0.022410899,0.387596899,0.296296296
7.77271E-4,51.798064771,0.133920972,0.02211472,0.387596899,0.296296296
7.86085E-4,52.03324266,0.135234256,0.021818541,0.387596899,0.296296296
8.00898E-4,52.272304437,0.137432305,0.021522362,0.387596899,0.296296296
8.18563E-4,52.516434323,0.140039154,0.021226182,0.387596899,0.314814815
8.28866E-4,52.76381146,0.141552242,0.020930003,0.395348837,0.314814815
8.38206E-4,53.013617824,0.142919366,0.020633824,0.395348837,0.314814815
8.62186E-4,53.268782413,0.146409406,0.020337644,0.395348837,0.314814815
8.74808E-4,53.530391017,0.148235038,0.020041465,0.395348837,0.314814815
9.00774E-4,53.796137379,0.151966348,0.019745286,0.403100775,0.314814815
9.05639E-4,54.067714523,0.152661871,0.019449107,0.403100775,0.314814815
9.10032E-4,54.340314896,0.153288855,0.019152927,0.403100775,0.314814815
9.15031E-4,54.52325714,0.154001128,0.018955474,0.410852713,0.314814815
9.22637E-4,54.799222086,0.155082736,0.018659295,0.418604651,0.314814815
9.36281E-4,55.078040467,0.15701604,0.018363116,0.426356589,0.314814815
9.37034E-4,55.265446275,0.157122492,0.018165663,0.426356589,0.314814815
9.38322E-4,55.546839017,0.157304508,0.017869484,0.434108527,0.314814815
9.54943E-4,55.830296322,0.159645985,0.017573304,0.441860465,0.314814815
9.59941E-4,56.021858297,0.160347569,0.017375852,0.441860465,0.314814815
9.75192E-4,56.312801541,0.162481275,0.017079672,0.449612403,0.314814815
9.96085E-4,56.511689367,0.165386611,0.016882219,0.449612403,0.314814815
1.02216E-3,56.816200485,0.168983708,0.01658604,0.449612403,0.333333333
1.03977E-3,57.023548788,0.171396971,0.016388587,0.457364341,0.37037037
1.0691E-3,57.340870515,0.175383824,0.016092408,0.457364341,0.37037037
1.0712E-3,57.554906282,0.175667578,0.015894955,0.457364341,0.37037037
1.07879E-3,57.770660573,0.176692845,0.015697502,0.457364341,0.37037037
1.09996E-3,58.098809569,0.179536569,0.015401323,0.457364341,0.388888889
1.10281E-3,58.319145634,0.179918626,0.01520387,0.457364341,0.388888889
1.12376E-3,58.542023272,0.182712605,0.015006417,0.457364341,0.388888889
1.14017E-3,58.768944785,0.184887231,0.014808964,0.457364341,0.388888889
1.15787E-3,59.113841198,0.187219825,0.014512785,0.465116279,0.388888889
1.16018E-3,59.345785905,0.187523443,0.014315332,0.472868217,0.388888889
1.16761E-3,59.578706089,0.188498132,0.014117879,0.472868217,0.388888889
1.17595E-3,59.813195562,0.189588314,0.013920426,0.472868217,0.388888889
1.20172E-3,60.053113356,0.192941478,0.013722974,0.480620155,0.388888889
1.20424E-3,60.293795707,0.193267925,0.013525521,0.488372093,0.388888889
1.2237E-3,60.538377242,0.195779502,0.013328068,0.488372093,0.407407407
