stream,date,priordate,reach,year,prodwtmean,prodwtsd,prodwtq5,prodwtq25,prodwtq50,prodwtq75,prodwtq95,prodlenmean,prodlensd,prodlenq5,prodlenq25,prodlenq50,prodlenq75,prodlenq95
Blacktail,2021-08-20,2021-08-05,4,2021,0.17569244444444446,0.15086674329750796,0,0.06577777777777775,0.1315555555555556,0.23022222222222227,0.5262222222222221,12.070222222222224,9.40949058299917,0,6.577777777777778,9.866666666666667,16.444444444444446,29.6
Blacktail,2021-09-09,2021-08-20,1,2021,3.5094316666666665,5.222679680600226,-1.0217499999999995,0.5083333333333335,2.0333333333333328,5.489999999999998,8.844999999999997,96.79683333333332,97.91207803999178,-40.666666666666664,30.5,91.49999999999999,152.49999999999997,254.16666666666666
Blacktail,2021-09-09,2021-08-20,2,2021,3.3500648648648648,3.928459432353624,-1.159459459459459,0.6441441441441439,2.1900900900900897,5.281981981981982,10.441576576576571,91.70036036036035,104.22365755208936,-64.41441441441441,25.765765765765764,77.29729729729729,154.59459459459458,271.1846846846841
Blacktail,2021-09-09,2021-08-20,3,2021,0.436358,0.5776047568113434,-0.312,0.12999999999999998,0.312,0.546,1.8720000000000003,15.9536,16.922758249965835,-10.4,5.2,15.6,23.4,52
Blacktail,2021-09-09,2021-08-20,4,2021,0.395784,0.20839244889572356,0.059999999999999984,0.24,0.40800000000000003,0.5159999999999999,0.78,14.892,6.315420852210923,3.6,10.8,15.6,19.2,25.2
Blacktail,2021-10-09,2021-09-09,1,2021,4.399352666666666,4.532182137125687,-1.8588888888888886,1.7526666666666666,4.355111111111111,7.3293333333333335,10.412433333333329,69.96857777777777,66.66095230247231,-42.48888888888889,26.55555555555555,69.04444444444444,122.15555555555554,169.95555555555555
Blacktail,2021-10-09,2021-09-09,2,2021,10.205135135135135,7.120706454675984,2.4324324324324333,6.418918918918918,8.581081081081082,11.97635135135135,26.08108108108108,158.85135135135135,80.0024236342192,40.20270270270272,108.10810810810811,155.40540540540542,202.70270270270274,310.81081081081084
Blacktail,2021-10-09,2021-09-09,3,2021,1.117962222222222,0.7030761232624589,0.0140000000000001,0.6844444444444444,0.9333333333333332,1.6955555555555555,2.3177777777777777,22.554,11.399760730715231,1.5555555555555556,15.555555555555554,21.777777777777775,31.111111111111107,40.44444444444444
Blacktail,2021-10-09,2021-09-09,4,2021,0.8824733333333333,0.34899957815159954,0.413,0.6133333333333333,0.8200000000000001,1.0883333333333334,1.5200000000000002,11.120666666666667,4.499817171485861,4.666666666666667,8,10.666666666666666,14,19.333333333333332
Blacktail,2021-11-04,2021-10-09,1,2021,4.123638974358974,9.78511962331815,-5.329692307692308,-0.6030769230769235,2.4123076923076923,6.332307692307692,17.57466666666663,45.74338461538461,71.7244157397214,-55.28205128205128,0,35.179487179487175,80.41025641025641,165.84615384615384
Blacktail,2021-11-04,2021-10-09,2,2021,2.0793492723492717,12.341743498958493,-15.262543312543313,-3.5795218295218283,0.8066528066528073,6.20114345114345,27.51358281358279,28.508454608454606,99.29603309894922,-120.997920997921,-26.888426888426885,26.888426888426885,80.66528066528066,222.1656271656268
Blacktail,2021-11-04,2021-10-09,3,2021,0.7886523076923078,1.551095972012209,-1.6595384615384616,-0.23692307692307674,0.6246153846153848,1.6800000000000002,3.6841538461538454,11.566153846153847,19.03117463777001,-19.49230769230769,0,10.769230769230772,23.692307692307697,43.07692307692309
Blacktail,2021-11-04,2021-10-09,4,2021,0.3279789743589744,0.7461171158636165,-0.896897435897436,-0.1364102564102564,0.31179487179487186,0.8184615384615387,1.5594615384615382,4.635025641025641,6.987953283050008,-7.794871794871796,0,4.871794871794872,8.76923076923077,16.564102564102566
Lower Bar BC,2021-08-06,NA,1,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Bar BC,2021-08-06,NA,2,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Bar BC,2021-08-06,NA,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Bar BC,2021-08-06,NA,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Bar BC,2021-08-21,2021-08-06,1,2021,0.11405111111111112,0.7538146366891092,-0.7555555555555556,-0.3022222222222223,0,0.26444444444444437,2.1911111111111112,5.485333333333333,26.672701782504205,-34,-11.333333333333334,3.7777777777777777,18.88888888888889,60.44444444444444
Lower Bar BC,2021-08-21,2021-08-06,2,2021,0.009971555555555553,0.4998454335971348,-0.5048888888888889,-0.2524444444444445,-0.06311111111111117,0.12622222222222226,0.8204444444444445,8.886044444444446,21.427187050474153,-18.933333333333334,-6.311111111111112,6.311111111111112,18.933333333333334,44.49333333333305
Lower Bar BC,2021-08-21,2021-08-06,3,2021,0.107492,0.13732317936747457,-0.084,0,0.084,0.16800000000000004,0.364,2.9512,6.684194567561376,-8.4,0,2.8,8.4,14
Lower Bar BC,2021-08-21,2021-08-06,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Bar BC,2021-09-13,2021-08-21,1,2021,0.4958191304347827,0.5030843241736815,-0.2556521739130435,0.19478260869565214,0.47478260869565225,0.6817391304347827,1.6434782608695655,13.605565217391307,11.093772823309056,-6.086956521739132,6.086956521739132,14.608695652173916,20.695652173913047,32.86956521739131
Lower Bar BC,2021-09-13,2021-08-21,2,2021,0.358071884057971,0.2987364261472874,-0.02724637681159423,0.1771014492753623,0.2997101449275362,0.5074637681159421,0.9400000000000001,12.687275362318841,8.46740753705088,-2.7246376811594204,8.173913043478262,12.26086956521739,17.710144927536234,25.95217391304342
