"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.sect.adj[36]",-0.00332887034380701,0.025823167865173,-0.0558490563219819,-0.019938833658062,-0.00276040641497764,0.013103085760973,0.0483524150045999,1.00170512009344,2500
"alpha.sect.adj[37]",0.00176552969236145,0.0296117340215107,-0.0576973738090228,-0.0164904465414156,0.0017155120786476,0.0202023013057637,0.0608335339260916,1.00159956588787,2900
"alpha.sect.adj[38]",0.000837853893170487,0.0297234395989241,-0.0590386154808422,-0.0173559902754116,0.000907472007715368,0.0194807602788036,0.0600432863130822,1.00181706315482,2200
"alpha.sect.adj[39]",0.003822656409206,0.0291292755966664,-0.0532886889329266,-0.0144722298752275,0.00336457911058795,0.021576380706477,0.0641562490993601,1.00149656536865,3300
"alpha.sect.adj[40]",0.00624696732564522,0.0250548507680692,-0.0450690785313366,-0.00866574754301964,0.00617581827730778,0.0214139193172046,0.0573252631551065,1.00231880737767,2300
"alpha.sect.adj[41]",0.00843614133135183,0.0248899491928442,-0.0410330480334489,-0.00660009057972881,0.00780051966811504,0.0234195334356418,0.0606047187648084,1.0024701995002,1300
"alpha.sect.adj[42]",0.0141372888093521,0.0253865751465679,-0.0326252622969101,-0.00236544073459023,0.0125089019672723,0.0292492065707725,0.0683795530127458,1.00366646695364,730
"alpha.sect.adj[43]",0.0120162362369276,0.0250264489123013,-0.0351180212615263,-0.00379441265442475,0.0106768551464929,0.0271556134609384,0.0649646035167969,1.00266172938847,1100
"alpha.sect.adj[44]",0.000824787560931696,0.0251572726828375,-0.0503599448929504,-0.0144356635003702,0.00098069720105928,0.0164536933891025,0.0509914141921595,1.00098818155159,15000
"alpha.sect.adj[45]",0.00264085576795678,0.0250373483232841,-0.047625865204795,-0.0127049166252561,0.00221980864179085,0.0179952722726809,0.0536000798318114,1.00123453420142,15000
"alpha.sect.adj[46]",0.00165343475961688,0.0252300422210903,-0.0491993655344236,-0.0137805004524047,0.00139689346671974,0.017148159095842,0.0524919549960581,1.00098565038487,15000
"alpha.sect.adj[47]",-4.98402488982639e-05,0.0256610948449328,-0.0533124194976017,-0.015054064073934,0.000341726094999292,0.0158090744360827,0.0493397124619062,1.0012653225628,5500
