"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"L[32]",59.9473684210526,0,59.9473684210526,59.9473684210526,59.9473684210526,59.9473684210526,59.9473684210526,1,1
"L[33]",59.2,0,59.2,59.2,59.2,59.2,59.2,1,1
"L[34]",64.5,0,64.5,64.5,64.5,64.5,64.5,1,1
"L[35]",60,0,60,60,60,60,60,1,1
"L[36]",59.2,0,59.2,59.2,59.2,59.2,59.2,1,1
"L[37]",48.4285714285714,0,48.4285714285714,48.4285714285714,48.4285714285714,48.4285714285714,48.4285714285714,1,1
"L[38]",29.6153846153846,0,29.6153846153846,29.6153846153846,29.6153846153846,29.6153846153846,29.6153846153846,1,1
"L[39]",38.6551724137931,0,38.6551724137931,38.6551724137931,38.6551724137931,38.6551724137931,38.6551724137931,1,1
"L[40]",47.6904761904762,0,47.6904761904762,47.6904761904762,47.6904761904762,47.6904761904762,47.6904761904762,1,1
"L[41]",49.304347826087,0,49.3043478260869,49.3043478260869,49.3043478260869,49.3043478260869,49.3043478260869,1,1
"L[42]",28.0909090909091,0,28.0909090909091,28.0909090909091,28.0909090909091,28.0909090909091,28.0909090909091,1,1
"L[43]",30.8125,0,30.8125,30.8125,30.8125,30.8125,30.8125,1,1
"L[44]",43.6842105263158,0,43.6842105263158,43.6842105263158,43.6842105263158,43.6842105263158,43.6842105263158,1,1
"L[45]",45.3636363636364,0,45.3636363636364,45.3636363636364,45.3636363636364,45.3636363636364,45.3636363636364,1,1
"L[46]",30.5862068965517,0,30.5862068965517,30.5862068965517,30.5862068965517,30.5862068965517,30.5862068965517,1,1
"L[47]",37.0416666666667,0,37.0416666666667,37.0416666666667,37.0416666666667,37.0416666666667,37.0416666666667,1,1
"L[48]",47.6923076923077,0,47.6923076923077,47.6923076923077,47.6923076923077,47.6923076923077,47.6923076923077,1,1
"L[49]",46.75,0,46.75,46.75,46.75,46.75,46.75,1,1
"L[50]",41.6,0,41.6,41.6,41.6,41.6,41.6,1,1
"L[51]",45.6538461538462,0,45.6538461538462,45.6538461538462,45.6538461538462,45.6538461538462,45.6538461538462,1,1
"L[52]",53.6842105263158,0,53.6842105263158,53.6842105263158,53.6842105263158,53.6842105263158,53.6842105263158,1,1
"L[53]",54.4,0,54.4,54.4,54.4,54.4,54.4,1,1
"L[54]",54.2307692307692,0,54.2307692307692,54.2307692307692,54.2307692307692,54.2307692307692,54.2307692307692,1,1
"L[55]",38.8888888888889,0,38.8888888888889,38.8888888888889,38.8888888888889,38.8888888888889,38.8888888888889,1,1
"L[56]",48.8,0,48.8,48.8,48.8,48.8,48.8,1,1
"L[57]",54.4285714285714,0,54.4285714285714,54.4285714285714,54.4285714285714,54.4285714285714,54.4285714285714,1,1
"L[58]",53.875,0,53.875,53.875,53.875,53.875,53.875,1,1
"L[59]",52.4666666666667,0,52.4666666666667,52.4666666666667,52.4666666666667,52.4666666666667,52.4666666666667,1,1
"L[60]",57.6923076923077,0,57.6923076923077,57.6923076923077,57.6923076923077,57.6923076923077,57.6923076923077,1,1
"L[61]",36.15,0,36.15,36.15,36.15,36.15,36.15,1,1
"L[62]",71.1276595744681,0,71.1276595744681,71.1276595744681,71.1276595744681,71.1276595744681,71.1276595744681,1,1
"L[63]",34.95,0,34.95,34.95,34.95,34.95,34.95,1,1
